target,water_body_type,n,R2,RMSE,MAE,R2_log
chl_a,lagoon,30,0.9197575787311789,3.238558322798076,2.577703056172091,0.9048974167005553
chl_a,lake,150,0.384899914031939,37.52645132076974,24.362682718418423,0.6930428867694737
chl_a,overall,390,0.7397880683851581,23.40775682740485,10.913477857315325,0.9152257787581553
chl_a,river,210,0.8497121263711969,3.1923800418512407,2.4977279281192892,0.7701499654897697
do,lagoon,30,-0.4273418812561267,1.2542502002703506,1.0466143528620402,
do,lake,150,-0.4623195095888748,2.364582730623646,2.00709485967954,
do,overall,390,-0.059005691389243387,2.040779701888796,1.6861458505957554,
do,river,210,0.05193821483811545,1.8751290346701512,1.54825820092644,
turbidity,lagoon,30,0.3721472674522802,17.582786799841614,13.957941712344612,0.07877067097353241
turbidity,lake,150,0.5594505668608921,18.394419993877683,13.837741534808826,0.5041136618164843
turbidity,overall,390,0.9417371472918556,35.598725049305614,23.90293204686961,0.9016332827635478
turbidity,river,210,0.8926706878023541,45.471454311726866,32.513066746130875,0.9214844179707384
